20482097     father: 20481893      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 96], ['right', 4]], 21: [['down', 100]], 23: [['down', 99], ['left', 1]], 24: [['left', 100]], 31: [['right', 41], ['down', 59]], 32: [['up', 0], ['right', 18], ['down', 82]], 34: [['up', 0], ['down', 100]], 41: [['up', 3], ['left', 66], ['down', 31]], 42: [['left', 86], ['down', 14]], 43: [['up', 0], ['down', 100]]}
20482098     father: 20481938      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 99], ['right', 1]], 21: [['down', 100]], 23: [['down', 91], ['left', 9]], 24: [['left', 100]], 31: [['right', 3], ['down', 97]], 32: [['up', 22], ['right', 14], ['down', 64]], 34: [['up', 0], ['down', 100]], 41: [['up', 39], ['left', 34], ['down', 27]], 42: [['left', 45], ['down', 55]], 43: [['up', 0], ['down', 100]]}
20482099     father: 20481938      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 99], ['right', 1]], 21: [['down', 100]], 23: [['down', 91], ['left', 9]], 24: [['left', 100]], 31: [['right', 3], ['down', 97]], 32: [['up', 22], ['right', 14], ['down', 64]], 34: [['up', 0], ['down', 100]], 41: [['up', 39], ['left', 34], ['down', 27]], 42: [['left', 45], ['down', 55]], 43: [['up', 0], ['down', 100]]}
20482100     father: 20480111XXX   {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 98], ['right', 2]], 21: [['down', 100]], 23: [['down', 76], ['left', 24]], 24: [['left', 100]], 31: [['right', 30], ['down', 70]], 32: [['up', 11], ['right', 7], ['down', 82]], 34: [['up', 0], ['down', 100]], 41: [['up', 8], ['left', 57], ['down', 35]], 42: [['left', 69], ['down', 31]], 43: [['up', 0], ['down', 100]]}
20482101     father: 20480111      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 98], ['right', 2]], 21: [['down', 100]], 23: [['down', 76], ['left', 24]], 24: [['left', 100]], 31: [['right', 30], ['down', 70]], 32: [['up', 11], ['right', 7], ['down', 82]], 34: [['up', 0], ['down', 100]], 41: [['up', 8], ['left', 57], ['down', 35]], 42: [['left', 67], ['down', 33]], 43: [['up', 0], ['down', 100]]}
20482102     father: 20481426      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 99], ['right', 1]], 21: [['down', 100]], 23: [['down', 89], ['left', 11]], 24: [['left', 100]], 31: [['right', 15], ['down', 85]], 32: [['up', 19], ['right', 6], ['down', 75]], 34: [['up', 2], ['down', 98]], 41: [['up', 9], ['left', 50], ['down', 41]], 42: [['left', 34], ['down', 66]], 43: [['up', 0], ['down', 100]]}
20482103     father: 20481426      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 99], ['right', 1]], 21: [['down', 100]], 23: [['down', 89], ['left', 11]], 24: [['left', 100]], 31: [['right', 15], ['down', 85]], 32: [['up', 19], ['right', 6], ['down', 75]], 34: [['up', 2], ['down', 98]], 41: [['up', 9], ['left', 50], ['down', 41]], 42: [['left', 34], ['down', 66]], 43: [['up', 0], ['down', 100]]}
20482104     father: 20480667      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 81], ['right', 19]], 21: [['down', 100]], 23: [['down', 83], ['left', 17]], 24: [['left', 100]], 31: [['right', 37], ['down', 63]], 32: [['up', 0], ['right', 22], ['down', 78]], 34: [['up', 0], ['down', 100]], 41: [['up', 3], ['left', 62], ['down', 35]], 42: [['left', 90], ['down', 10]], 43: [['up', 0], ['down', 100]]}
20482105     father: 20480667      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 81], ['right', 19]], 21: [['down', 100]], 23: [['down', 83], ['left', 17]], 24: [['left', 100]], 31: [['right', 37], ['down', 63]], 32: [['up', 0], ['right', 22], ['down', 78]], 34: [['up', 0], ['down', 100]], 41: [['up', 3], ['left', 62], ['down', 35]], 42: [['left', 90], ['down', 10]], 43: [['up', 0], ['down', 100]]}
20482106     father: 20480882      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 80], ['right', 20]], 21: [['down', 100]], 23: [['down', 86], ['left', 14]], 24: [['left', 100]], 31: [['right', 10], ['down', 90]], 32: [['up', 19], ['right', 6], ['down', 75]], 34: [['up', 0], ['down', 100]], 41: [['up', 26], ['left', 15], ['down', 59]], 42: [['left', 22], ['down', 78]], 43: [['up', 0], ['down', 100]]}
20482107     father: 20480882      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 80], ['right', 20]], 21: [['down', 100]], 23: [['down', 86], ['left', 14]], 24: [['left', 100]], 31: [['right', 10], ['down', 90]], 32: [['up', 19], ['right', 6], ['down', 75]], 34: [['up', 0], ['down', 100]], 41: [['up', 26], ['left', 15], ['down', 59]], 42: [['left', 22], ['down', 78]], 43: [['up', 0], ['down', 100]]}
20482108     father: 20480241      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 99], ['right', 1]], 21: [['down', 100]], 23: [['down', 72], ['left', 28]], 24: [['left', 100]], 31: [['right', 87], ['down', 13]], 32: [['up', 11], ['right', 22], ['down', 67]], 34: [['up', 15], ['down', 85]], 41: [['up', 4], ['left', 63], ['down', 33]], 42: [['left', 65], ['down', 35]], 43: [['up', 8], ['down', 92]]}
20482109     father: 20480241      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 99], ['right', 1]], 21: [['down', 100]], 23: [['down', 72], ['left', 28]], 24: [['left', 100]], 31: [['right', 87], ['down', 13]], 32: [['up', 11], ['right', 22], ['down', 67]], 34: [['up', 15], ['down', 85]], 41: [['up', 4], ['left', 63], ['down', 33]], 42: [['left', 65], ['down', 35]], 43: [['up', 8], ['down', 92]]}
20482110     father: 20480783XXX   {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 99], ['right', 1]], 21: [['down', 100]], 23: [['down', 94], ['left', 6]], 24: [['left', 100]], 31: [['right', 45], ['down', 55]], 32: [['up', 19], ['right', 8], ['down', 73]], 34: [['up', 0], ['down', 100]], 41: [['up', 9], ['left', 55], ['down', 36]], 42: [['left', 92], ['down', 8]], 43: [['up', 0], ['down', 100]]}
